Tipo_Ejecucion,Tamaño_Ventana,Numero_encontrados,Distancia_aceptacion,Tiempo
Original,10,0,0,0.01
Mejorado,10,0,0,0.02
Original,20,1,7.76,0.02
Mejorado,20,0,0,0.02
Original,40,2,8.91,0.03
Mejorado,40,2,8.09,0.05
Original,80,3,9.88,0.03
Mejorado,80,7,9.92,0.09
Original,100,4,10.09,0.04
Mejorado,100,8,9.9,0.1
Original,120,4,10.82,0.04
Mejorado,120,9,10.25,0.11
Original,140,1,12.87,0.05
Mejorado,140,7,9.4,0.12
Original,160,0,0,0.06
Mejorado,160,5,9.77,0.14
Original,180,3,14.18,0.06
Mejorado,180,8,10.44,0.15
Original,200,4,14.67,0.07
Mejorado,200,6,11.05,0.17
Original,220,2,13.58,0.08
Mejorado,220,5,11.1,0.18
Original,230,3,14.28,0.08
Mejorado,230,6,11.74,0.19
Original,240,1,15.05,0.08
Mejorado,240,5,11.05,0.19
Original,250,1,15.69,0.09
Mejorado,250,6,11.13,0.22
Original,260,1,15.5,0.09
Mejorado,260,5,11.57,0.21
Original,280,1,15.13,0.09
Mejorado,280,5,12.32,0.23
Original,300,1,16.08,0.1
Mejorado,300,3,13.74,0.24
Original,320,0,0,0.11
Mejorado,320,3,13.85,0.26
Original,340,0,0,0.12
Mejorado,340,2,13.95,0.27
Original,360,0,0,0.12
Mejorado,360,4,14.14,0.28
Original,380,0,0,0.12
Mejorado,380,3,14.95,0.28
Original,400,0,0,0.12
Mejorado,400,4,13.84,0.28
